model,policy,group,TTFT,plot_value
gpt3,double,GPT-3 13B (int8),0.454697,0.8389475723497882
gpt_neo_quant,double,GPT-Neo (w4a8),0.014401,0.9777973927213471
gemma_2_2b_quant,double,Gemma-2 (w4a8),0.010792,0.9770052507695093
gpt_neo,double,GPT-Neo (int8),0.048845,0.8978860294117648
gpt_2.7b,double,GPT-3 2.7B (int8),0.098112,0.7903589611393955
llama2_quant,double,LLaMA2 (w4a8),0.065159,0.8992285505306302
gpt_xl,double,GPT-3 XL (int8),0.103364,0.8620922609863301
gemma_2_2b,double,Gemma-2 (int8),0.036627,0.897676584481153
tiny_llama_quant,double,TinyLLaMA (w4a8),0.013225,0.9831251858459709
llama2,double,LLaMA2 (int8),0.237448,0.8494483636936021
gpt3_quant,double,GPT-3 13B (w4a8),0.122662,0.7905007411226397
gpt_xl_quant,double,GPT-3 XL (w4a8),0.029088,0.7952755905511811
gpt_2.7b_quant,double,GPT-3 2.7B (w4a8),0.028151,0.7366286372200125
bloom,double,Bloom (int8),0.222607,0.8494472660945352
tiny_llama,double,TinyLLaMA (int8),0.044797,0.899231186141277
bloom_quant,double,Bloom (w4a8),0.061086,0.8992095152576804
gpt3,cache,GPT-3 13B (int8),0.53863,0.9938097917839055
gpt_neo_quant,cache,GPT-Neo (w4a8),0.015099,1.025190114068441
gemma_2_2b_quant,cache,Gemma-2 (w4a8),0.011324,1.0251674814412457
gpt_neo,cache,GPT-Neo (int8),0.055442,1.019154411764706
gpt_2.7b,cache,GPT-3 2.7B (int8),0.112379,0.9052893600567121
llama2_quant,cache,LLaMA2 (w4a8),0.073921,1.0201487696830018
gpt_xl,cache,GPT-3 XL (int8),0.119075,0.9931275490204254
gemma_2_2b,cache,Gemma-2 (int8),0.041583,1.0191412185677173
tiny_llama_quant,cache,TinyLLaMA (w4a8),0.013841,1.028917633065715
llama2,cache,LLaMA2 (int8),0.279336,0.9992988280411544
gpt3_quant,cache,GPT-3 13B (w4a8),0.140473,0.9052845266481923
gpt_xl_quant,cache,GPT-3 XL (w4a8),0.032261,0.8820264654418197
gpt_2.7b_quant,cache,GPT-3 2.7B (w4a8),0.030609,0.8009472472262926
bloom,cache,Bloom (int8),0.261877,0.9992978733958889
tiny_llama,cache,TinyLLaMA (int8),0.050821,1.0201537627717445
bloom_quant,cache,Bloom (w4a8),0.069301,1.020137488407696
gpt3,preload,GPT-3 13B (int8),0.541985,1.0
gpt_neo_quant,preload,GPT-Neo (w4a8),0.014728,1.0
gemma_2_2b_quant,preload,Gemma-2 (w4a8),0.011046,1.0
gpt_neo,preload,GPT-Neo (int8),0.0544,1.0
gpt_2.7b,preload,GPT-3 2.7B (int8),0.124136,1.0
llama2_quant,preload,LLaMA2 (w4a8),0.072461,1.0
gpt_xl,preload,GPT-3 XL (int8),0.119899,1.0
gemma_2_2b,preload,Gemma-2 (int8),0.040802,1.0
tiny_llama_quant,preload,TinyLLaMA (w4a8),0.013452,1.0
llama2,preload,LLaMA2 (int8),0.279532,1.0
gpt3_quant,preload,GPT-3 13B (w4a8),0.15517,1.0
gpt_xl_quant,preload,GPT-3 XL (w4a8),0.036576,1.0
gpt_2.7b_quant,preload,GPT-3 2.7B (w4a8),0.038216,1.0
bloom,preload,Bloom (int8),0.262061,1.0
