model,policy,seq_len_1
gpt3,double,0.454697
gpt_neo_quant,double,0.014401
gemma_2_2b_quant,double,0.010792
gpt_neo,double,0.048845
gpt_2.7b,double,0.098112
llama2_quant,double,0.065159
gpt_xl,double,0.103364
gemma_2_2b,double,0.036627
tiny_llama_quant,double,0.013225
llama2,double,0.237448
gpt3_quant,double,0.122662
gpt_xl_quant,double,0.029088
gpt_2.7b_quant,double,0.028151
bloom,double,0.222607
tiny_llama,double,0.044797
bloom_quant,double,0.061086
gpt3,cache,0.538630
gpt_neo_quant,cache,0.015099
gemma_2_2b_quant,cache,0.011324
gpt_neo,cache,0.055442
gpt_2.7b,cache,0.112379
llama2_quant,cache,0.073921
gpt_xl,cache,0.119075
gemma_2_2b,cache,0.041583
tiny_llama_quant,cache,0.013841
llama2,cache,0.279336
gpt3_quant,cache,0.140473
gpt_xl_quant,cache,0.032261
gpt_2.7b_quant,cache,0.030609
bloom,cache,0.261877
tiny_llama,cache,0.050821
bloom_quant,cache,0.069301
gpt3,preload,0.541985
gpt_neo_quant,preload,0.014728
gemma_2_2b_quant,preload,0.011046
gpt_neo,preload,0.054400
gpt_2.7b,preload,0.124136
llama2_quant,preload,0.072461
gpt_xl,preload,0.119899
gemma_2_2b,preload,0.040802
tiny_llama_quant,preload,0.013452
llama2,preload,0.279532
gpt3_quant,preload,0.155170
gpt_xl_quant,preload,0.036576
gpt_2.7b_quant,preload,0.038216
bloom,preload,0.262061
tiny_llama,preload,0.049817
bloom_quant,preload,0.067933
gpt3,block,0.443785
gpt_neo_quant,block,0.012259
gemma_2_2b_quant,block,0.009322
gpt_neo,block,0.045479
gpt_2.7b,block,0.092109
llama2_quant,block,0.060184
gpt_xl,block,0.098273
gemma_2_2b,block,0.034238
tiny_llama_quant,block,0.010925
llama2,block,0.229667
gpt3_quant,block,0.114853
gpt_xl_quant,block,0.026147
gpt_2.7b_quant,block,0.024503
bloom,block,0.215312
tiny_llama,block,0.041376
bloom_quant,block,0.056422
gpt3,block_end,0.437078
gpt_neo_quant,block_end,0.011397
gemma_2_2b_quant,block_end,0.008705
gpt_neo,block_end,0.043804
gpt_2.7b,block_end,0.089001
llama2_quant,block_end,0.058329
gpt_xl,block_end,0.095115
gemma_2_2b,block_end,0.033102
tiny_llama_quant,block_end,0.010136
llama2,block_end,0.224196
gpt3_quant,block_end,0.110962
gpt_xl_quant,block_end,0.025330
gpt_2.7b_quant,block_end,0.022971
bloom,block_end,0.210184
tiny_llama,block_end,0.040101
bloom_quant,block_end,0.054684
