operation,va util,total cycle,compute cycle,io cycle,current cycle,memory bw,sram occupancy,sa util
layernorm(MHA),0.8733624454148471,714.0,458.0,256,714.0,100,1.5625,0
q projection,0,2080,0,2080,2080,100,12.6953125,3.188775510204082
q projection,0,4130,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,6180,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,8230,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,10280,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,12330,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,14380,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,16430,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,18480,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,20530,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,22580,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,24630,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,26680,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,28730,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,30780,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,32830,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,34880,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,36930,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,38980,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,41030,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,43080,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,45130,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,47180,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,49230,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,51280,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,53330,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,55380,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,57430,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,59480,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,61530,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,63580,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,65630,502,2050,2050,100,12.51220703125,3.188775510204082
q projection,0,67714,502,2084,2084,100,12.7197265625,3.188775510204082
q projection,0,69766,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,71818,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,73870,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,75922,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,77974,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,80026,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,82078,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,84130,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,86182,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,88234,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,90286,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,92338,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,94390,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,96442,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,98494,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,100546,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,102598,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,104650,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,106702,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,108754,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,110806,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,112858,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,114910,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,116962,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,119014,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,121066,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,123118,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,125170,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,127222,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,129274,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,131326,506,2052,2052,100,12.5244140625,3.188775510204082
q projection,0,131834,506,2,508,100,12.5244140625,3.188775510204082
k projection,0,2080,0,2080,2080,100,12.6953125,3.188775510204082
k projection,0,4130,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,6180,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,8230,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,10280,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,12330,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,14380,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,16430,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,18480,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,20530,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,22580,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,24630,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,26680,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,28730,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,30780,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,32830,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,34880,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,36930,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,38980,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,41030,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,43080,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,45130,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,47180,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,49230,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,51280,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,53330,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,55380,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,57430,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,59480,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,61530,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,63580,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,65630,502,2050,2050,100,12.51220703125,3.188775510204082
k projection,0,67714,502,2084,2084,100,12.7197265625,3.188775510204082
k projection,0,69766,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,71818,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,73870,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,75922,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,77974,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,80026,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,82078,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,84130,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,86182,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,88234,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,90286,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,92338,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,94390,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,96442,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,98494,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,100546,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,102598,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,104650,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,106702,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,108754,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,110806,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,112858,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,114910,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,116962,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,119014,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,121066,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,123118,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,125170,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,127222,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,129274,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,131326,506,2052,2052,100,12.5244140625,3.188775510204082
k projection,0,131834,506,2,508,100,12.5244140625,3.188775510204082
