operation,va util,total cycle,compute cycle,io cycle,current cycle,memory bw,sram occupancy,sa util
layernorm(MHA),0.8733624454148471,714.0,458.0,256,714.0,100,1.5625,0
q projection,-1,131766,-1,-1,-1,-1,-1,-1
k projection,-1,131766,-1,-1,-1,-1,-1,-1
v projection,-1,131766,-1,-1,-1,-1,-1,-1
q_mul_k,-1,132269,-1,-1,-1,-1,-1,-1
softmax,-1,162816,-1,-1,-1,-1,-1,-1
a_mul_v,-1,134337,-1,-1,-1,-1,-1,-1
w0_projection,-1,131766,-1,-1,-1,-1,-1,-1
all_reduce(MHA),-1,-1,-1,-1,-1,-1,-1,-1
layernorm(FFN),0.8733624454148471,714.0,458.0,256,714.0,100,1.5625,0
w1_projection,-1,525366,-1,-1,-1,-1,-1,-1
gelu,100,12800.0,12800.0,512.0,12800.0,100,3.125,-1
w2_projection,-1,526680,-1,-1,-1,-1,-1,-1
