operation,va util,total cycle,compute cycle,io cycle,current cycle,memory bw,sram occupancy,sa util
layernorm(MHA),28.53162440791307,15370.0,7178.0,8192,15370.0,100,25.0,0
q projection,-1,6152,0,6152,6152,100.0,37.548828125,51.02040816326531
q projection,-1,7248,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,10520,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,11616,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,14888,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,15984,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,19256,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,20352,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,23624,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,24720,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,27992,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,29088,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,32360,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,33456,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,36728,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,37824,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,41096,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,42192,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,45464,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,46560,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,49832,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,50928,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,54200,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,55296,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,58568,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,59664,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,62936,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,64032,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,67304,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,68400,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,71672,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,72768,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,76040,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,77136,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,80408,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,81504,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,84776,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,85872,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,89144,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,90240,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,93512,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,94608,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,97880,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,98976,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,102248,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,103344,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,106616,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,107712,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,110984,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,112080,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,115352,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,116448,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,119720,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,120816,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,124088,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,125184,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,128456,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,129552,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,132824,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,133920,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,137192,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,138288,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,141560,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,142656,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,145928,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,147024,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,150296,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,151392,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,154664,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,155760,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,159032,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,160128,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,163400,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,164496,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,167768,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,168864,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,172136,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,173232,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,176504,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,177600,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,180872,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,181968,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,185240,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,186336,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,189608,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,190704,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,193976,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,195072,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,198344,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,199440,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,202712,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,203808,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,207080,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,208176,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,211448,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,212544,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,215816,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,216912,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,220184,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,221280,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,224552,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,225648,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,228920,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,230016,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,233288,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,234384,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,237656,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,238752,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,242024,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,243120,502,1096,1096,100.0,6.689453125,51.02040816326531
q projection,-1,246392,502,3272,3272,100.0,19.970703125,51.02040816326531
q projection,-1,247488,502,1096,1096,100.0,6.689453125,51.02040816326531
