operation,va util,total cycle,compute cycle,io cycle,current cycle,memory bw,sram occupancy,sa util
layernorm(MHA),28.53162440791307,15370.0,7178.0,8192,15370.0,100,25.0,0
q projection,-1,6176,0,6176,6176,99.48186528497409,37.5,51.02040816326531
q projection,-1,7296,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,10592,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,11712,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,15008,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,16128,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,19424,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,20544,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,23840,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,24960,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,28256,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,29376,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,32672,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,33792,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,37088,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,38208,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,41504,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,42624,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,45920,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,47040,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,50336,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,51456,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,54752,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,55872,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,59168,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,60288,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,63584,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,64704,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,68000,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,69120,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,72416,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,73536,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,76832,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,77952,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,81248,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,82368,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,85664,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,86784,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,90080,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,91200,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,94496,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,95616,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,98912,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,100032,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,103328,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,104448,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,107744,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,108864,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,112160,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,113280,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,116576,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,117696,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,120992,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,122112,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,125408,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,126528,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,129824,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,130944,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,134240,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,135360,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,138656,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,139776,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,143072,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,144192,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,147488,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,148608,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,151904,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,153024,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,156320,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,157440,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,160736,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,161856,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,165152,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,166272,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,169568,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,170688,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,173984,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,175104,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,178400,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,179520,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
q projection,-1,182816,502,3296,3296,99.02912621359224,19.921875,51.02040816326531
q projection,-1,183936,502,1120,1120,97.14285714285714,6.640625,51.02040816326531
