operation,va util,total cycle,compute cycle,io cycle,current cycle,memory bw,sram occupancy,sa util
layernorm(MHA),0.8733624454148471,522.0,458.0,64,522.0,100,1.5625,0
q projection,0,136,0,136,136,100,3.3203125,147.5
q projection,0,409,272,129,273,100,3.1280517578125,147.5
q projection,0,682,272,129,273,100,3.1280517578125,147.5
q projection,0,955,272,129,273,100,3.1280517578125,147.5
q projection,0,1228,272,129,273,100,3.1280517578125,147.5
q projection,0,1501,272,129,273,100,3.1280517578125,147.5
q projection,0,1774,272,129,273,100,3.1280517578125,147.5
q projection,0,2047,272,129,273,100,3.1280517578125,147.5
q projection,0,2320,272,129,273,100,3.1280517578125,147.5
q projection,0,2593,272,129,273,100,3.1280517578125,147.5
q projection,0,2866,272,129,273,100,3.1280517578125,147.5
q projection,0,3139,272,129,273,100,3.1280517578125,147.5
q projection,0,3412,272,129,273,100,3.1280517578125,147.5
q projection,0,3685,272,129,273,100,3.1280517578125,147.5
q projection,0,3958,272,129,273,100,3.1280517578125,147.5
q projection,0,4231,272,129,273,100,3.1280517578125,147.5
q projection,0,4504,272,129,273,100,3.1280517578125,147.5
q projection,0,4777,272,129,273,100,3.1280517578125,147.5
q projection,0,5050,272,129,273,100,3.1280517578125,147.5
q projection,0,5323,272,129,273,100,3.1280517578125,147.5
q projection,0,5596,272,129,273,100,3.1280517578125,147.5
q projection,0,5869,272,129,273,100,3.1280517578125,147.5
q projection,0,6142,272,129,273,100,3.1280517578125,147.5
q projection,0,6415,272,129,273,100,3.1280517578125,147.5
q projection,0,6688,272,129,273,100,3.1280517578125,147.5
q projection,0,6961,272,129,273,100,3.1280517578125,147.5
q projection,0,7234,272,129,273,100,3.1280517578125,147.5
q projection,0,7507,272,129,273,100,3.1280517578125,147.5
q projection,0,7780,272,129,273,100,3.1280517578125,147.5
q projection,0,8053,272,129,273,100,3.1280517578125,147.5
q projection,0,8326,272,129,273,100,3.1280517578125,147.5
q projection,0,8599,272,129,273,100,3.1280517578125,147.5
q projection,0,8872,272,129,273,100,3.1280517578125,147.5
q projection,0,9145,272,129,273,100,3.1280517578125,147.5
q projection,0,9418,272,129,273,100,3.1280517578125,147.5
q projection,0,9691,272,129,273,100,3.1280517578125,147.5
q projection,0,9964,272,129,273,100,3.1280517578125,147.5
q projection,0,10237,272,129,273,100,3.1280517578125,147.5
q projection,0,10510,272,129,273,100,3.1280517578125,147.5
q projection,0,10783,272,129,273,100,3.1280517578125,147.5
q projection,0,11056,272,129,273,100,3.1280517578125,147.5
q projection,0,11329,272,129,273,100,3.1280517578125,147.5
q projection,0,11602,272,129,273,100,3.1280517578125,147.5
q projection,0,11875,272,129,273,100,3.1280517578125,147.5
q projection,0,12148,272,129,273,100,3.1280517578125,147.5
q projection,0,12421,272,129,273,100,3.1280517578125,147.5
q projection,0,12694,272,129,273,100,3.1280517578125,147.5
q projection,0,12967,272,129,273,100,3.1280517578125,147.5
q projection,0,13240,272,129,273,100,3.1280517578125,147.5
q projection,0,13513,272,129,273,100,3.1280517578125,147.5
q projection,0,13786,272,129,273,100,3.1280517578125,147.5
q projection,0,14059,272,129,273,100,3.1280517578125,147.5
q projection,0,14332,272,129,273,100,3.1280517578125,147.5
q projection,0,14605,272,129,273,100,3.1280517578125,147.5
q projection,0,14878,272,129,273,100,3.1280517578125,147.5
q projection,0,15151,272,129,273,100,3.1280517578125,147.5
q projection,0,15424,272,129,273,100,3.1280517578125,147.5
q projection,0,15697,272,129,273,100,3.1280517578125,147.5
