operation,va util,total cycle,compute cycle,io cycle,current cycle,memory bw,sram occupancy,sa util
layernorm(MHA),0,0,0,0,0,100,25.0,0
layernorm(MHA),96.2406015037594,69.0,69.0,69.0,69.0,100,100.0,0
layernorm(MHA),96.2406015037594,202.0,133.0,133.0,133.0,100,100.0,0
layernorm(MHA),0,202.0,0,0,0,100,100.0,0
layernorm(MHA),50.0,458.0,256,256,256,100,100.0,0
layernorm(MHA),0,458.0,0,0,0,100,100.0,0
q projection,-1,1004,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,2008,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,3012,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,4016,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,5020,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,6024,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,7028,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,8032,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,9036,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,10040,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,11044,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,12048,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,13052,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,14056,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,15060,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,16064,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,17068,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,18072,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,19076,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,20080,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,21084,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,22088,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,23092,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,24096,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,25100,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,26104,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,27108,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,28112,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,29116,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,30120,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,31124,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,32128,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,33132,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,34136,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,35140,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,36144,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,37148,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,38152,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,39156,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,40160,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,41164,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,42168,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,43172,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,44176,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,45180,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,46184,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,47188,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,48192,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,49196,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,50200,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,51204,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,52208,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,53212,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,54216,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,55220,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,56224,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,57228,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,58232,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,59236,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,60240,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,61244,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,62248,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,63252,1004,1004,1004,100,100.000,51.02040816326531
q projection,-1,64256,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,1004,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,2008,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,3012,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,4016,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,5020,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,6024,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,7028,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,8032,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,9036,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,10040,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,11044,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,12048,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,13052,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,14056,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,15060,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,16064,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,17068,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,18072,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,19076,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,20080,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,21084,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,22088,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,23092,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,24096,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,25100,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,26104,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,27108,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,28112,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,29116,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,30120,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,31124,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,32128,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,33132,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,34136,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,35140,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,36144,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,37148,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,38152,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,39156,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,40160,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,41164,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,42168,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,43172,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,44176,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,45180,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,46184,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,47188,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,48192,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,49196,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,50200,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,51204,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,52208,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,53212,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,54216,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,55220,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,56224,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,57228,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,58232,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,59236,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,60240,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,61244,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,62248,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,63252,1004,1004,1004,100,100.000,51.02040816326531
k projection,-1,64256,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,1004,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,2008,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,3012,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,4016,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,5020,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,6024,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,7028,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,8032,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,9036,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,10040,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,11044,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,12048,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,13052,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,14056,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,15060,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,16064,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,17068,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,18072,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,19076,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,20080,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,21084,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,22088,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,23092,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,24096,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,25100,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,26104,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,27108,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,28112,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,29116,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,30120,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,31124,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,32128,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,33132,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,34136,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,35140,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,36144,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,37148,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,38152,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,39156,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,40160,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,41164,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,42168,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,43172,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,44176,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,45180,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,46184,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,47188,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,48192,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,49196,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,50200,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,51204,1004,1004,1004,100,100.000,51.02040816326531
v projection,-1,52208,1004,1004,1004,100,100.000,51.02040816326531
