operation,va util,total cycle,compute cycle,io cycle,current cycle,memory bw,sram occupancy,sa util
layernorm(MHA),0,219,0,219,219,100,12.5,0
layernorm(MHA),48.1203007518797,288.0,69.0,69.0,69.0,100,14.453125,0
layernorm(MHA),0,507.0,0,219,219,100,18.75,0
layernorm(MHA),48.1203007518797,640.0,133.0,133.0,133.0,100,22.265625,0
layernorm(MHA),0,859.0,0,219,219,100,25.0,0
layernorm(MHA),25.0,1115.0,256,256,256,100,32.03125,0
layernorm(MHA),0,1334.0,0,219,219,100,32.03125,0
q projection,-1,1865,1004,1865,1865,100,60.156,3.188775510204082
q projection,-1,2869,1004,1004,1004,100,93.750,3.188775510204082
q projection,-1,3873,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,4877,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,5881,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,6885,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,7889,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,8893,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,9897,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,10901,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,11905,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,12909,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,13913,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,14917,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,15921,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,16925,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,17929,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,18933,1004,27.306666666666615,1004,100,100.000,3.188775510204082
q projection,-1,19937,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,20941,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,21945,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,22949,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,23953,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,24957,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,25961,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,26965,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,27969,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,28973,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,29977,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,30981,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,31985,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,32989,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,33993,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,34997,1004,27.306666666666615,1004,100,100.000,3.188775510204082
q projection,-1,36001,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,37005,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,38009,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,39013,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,40017,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,41021,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,42025,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,43029,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,44033,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,45037,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,46041,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,47045,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,48049,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,49053,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,50057,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,51061,1004,27.306666666666615,1004,100,100.000,3.188775510204082
q projection,-1,52065,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,53069,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,54073,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,55077,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,56081,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,57085,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,58089,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,59093,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,60097,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,61101,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,62105,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,63109,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,64113,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,65117,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,66121,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,67125,1004,27.306666666666615,1004,100,100.000,3.188775510204082
q projection,-1,68129,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,69133,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,70137,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,71141,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,72145,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,73149,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,74153,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,75157,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,76161,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,77165,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,78169,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,79173,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,80177,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,81181,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,82185,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,83189,1004,27.306666666666615,1004,100,100.000,3.188775510204082
q projection,-1,84193,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,85197,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,86201,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,87205,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,88209,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,89213,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,90217,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,91221,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,92225,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,93229,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,94233,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,95237,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,96241,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,97245,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,98249,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,99253,1004,27.306666666666615,1004,100,100.000,3.188775510204082
q projection,-1,100257,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,101261,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,102265,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,103269,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,104273,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,105277,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,106281,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,107285,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,108289,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,109293,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,110297,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,111301,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,112305,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,113309,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,114313,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,115317,1004,27.306666666666615,1004,100,100.000,3.188775510204082
q projection,-1,116321,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,117325,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,118329,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,119333,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,120337,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,121341,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,122345,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,123349,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,124353,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,125357,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,126361,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,127365,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,128369,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,129373,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,130377,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,131381,1004,27.306666666666615,1004,100,100.000,3.188775510204082
q projection,-1,132385,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,133389,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,134393,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,135397,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,136401,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,137405,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,138409,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,139413,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,140417,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,141421,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,142425,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,143429,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,144433,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,145437,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,146441,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,147445,1004,27.306666666666615,1004,100,100.000,3.188775510204082
q projection,-1,148449,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,149453,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,150457,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,151461,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,152465,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,153469,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,154473,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,155477,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,156481,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,157485,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,158489,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,159493,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,160497,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,161501,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,162505,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,163509,1004,27.306666666666615,1004,100,100.000,3.188775510204082
q projection,-1,164513,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,165517,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,166521,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,167525,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,168529,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,169533,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,170537,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,171541,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,172545,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,173549,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,174553,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,175557,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,176561,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,177565,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,178569,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,179573,1004,27.306666666666615,1004,100,100.000,3.188775510204082
q projection,-1,180577,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,181581,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,182585,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,183589,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,184593,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,185597,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,186601,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,187605,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,188609,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,189613,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,190617,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,191621,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,192625,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,193629,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,194633,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,195637,1004,27.306666666666615,1004,100,100.000,3.188775510204082
q projection,-1,196641,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,197645,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,198649,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,199653,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,200657,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,201661,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,202665,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,203669,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,204673,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,205677,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,206681,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,207685,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,208689,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,209693,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,210697,1004,0,1004,100,100.000,3.188775510204082
q projection,-1,211701,1004,27.306666666666615,1004,100,100.000,3.188775510204082
q projection,-1,212705,1004,1004,1004,100,100.000,3.188775510204082
q projection,-1,213709,1004,0,1004,100,100.000,3.188775510204082
