operation,va util,total cycle,compute cycle,io cycle,current cycle,memory bw,sram occupancy,sa util
layernorm(MHA),0,0,0,0,0,100,0.78125,0
layernorm(MHA),3.007518796992481,69.0,69.0,69.0,69.0,100,100.0,0
layernorm(MHA),3.007518796992481,202.0,133.0,133.0,133.0,100,100.0,0
layernorm(MHA),0,202.0,0,0,0,100,100.0,0
layernorm(MHA),1.5625,458.0,256,256,256,100,100.0,0
layernorm(MHA),0,458.0,0,0,0,100,100.0,0
q projection,-1,144,144,144,144,100,100.000,1.3961605584642234
q projection,-1,288,144,144,144,100,100.000,1.3961605584642234
q projection,-1,432,144,144,144,100,100.000,1.3961605584642234
q projection,-1,576,144,144,144,100,100.000,1.3961605584642234
q projection,-1,720,144,144,144,100,100.000,1.3961605584642234
q projection,-1,864,144,144,144,100,100.000,1.3961605584642234
q projection,-1,1008,144,144,144,100,100.000,1.3961605584642234
q projection,-1,1152,144,144,144,100,100.000,1.3961605584642234
q projection,-1,1296,144,144,144,100,100.000,1.3961605584642234
q projection,-1,1440,144,144,144,100,100.000,1.3961605584642234
q projection,-1,1584,144,144,144,100,100.000,1.3961605584642234
q projection,-1,1728,144,144,144,100,100.000,1.3961605584642234
q projection,-1,1872,144,144,144,100,100.000,1.3961605584642234
q projection,-1,2016,144,144,144,100,100.000,1.3961605584642234
q projection,-1,2160,144,144,144,100,100.000,1.3961605584642234
q projection,-1,2304,144,144,144,100,100.000,1.3961605584642234
q projection,-1,2448,144,144,144,100,100.000,1.3961605584642234
q projection,-1,2592,144,144,144,100,100.000,1.3961605584642234
q projection,-1,2736,144,144,144,100,100.000,1.3961605584642234
q projection,-1,2880,144,144,144,100,100.000,1.3961605584642234
q projection,-1,3024,144,144,144,100,100.000,1.3961605584642234
q projection,-1,3168,144,144,144,100,100.000,1.3961605584642234
q projection,-1,3312,144,144,144,100,100.000,1.3961605584642234
q projection,-1,3456,144,144,144,100,100.000,1.3961605584642234
q projection,-1,3600,144,144,144,100,100.000,1.3961605584642234
q projection,-1,3744,144,144,144,100,100.000,1.3961605584642234
q projection,-1,3888,144,144,144,100,100.000,1.3961605584642234
q projection,-1,4032,144,144,144,100,100.000,1.3961605584642234
q projection,-1,4176,144,144,144,100,100.000,1.3961605584642234
q projection,-1,4320,144,144,144,100,100.000,1.3961605584642234
q projection,-1,4464,144,144,144,100,100.000,1.3961605584642234
q projection,-1,4608,144,144,144,100,100.000,1.3961605584642234
q projection,-1,4752,144,144,144,100,100.000,1.3961605584642234
q projection,-1,4896,144,144,144,100,100.000,1.3961605584642234
q projection,-1,5040,144,144,144,100,100.000,1.3961605584642234
q projection,-1,5184,144,144,144,100,100.000,1.3961605584642234
q projection,-1,5328,144,144,144,100,100.000,1.3961605584642234
q projection,-1,5472,144,144,144,100,100.000,1.3961605584642234
q projection,-1,5616,144,144,144,100,100.000,1.3961605584642234
q projection,-1,5760,144,144,144,100,100.000,1.3961605584642234
q projection,-1,5904,144,144,144,100,100.000,1.3961605584642234
q projection,-1,6048,144,144,144,100,100.000,1.3961605584642234
q projection,-1,6192,144,144,144,100,100.000,1.3961605584642234
q projection,-1,6336,144,144,144,100,100.000,1.3961605584642234
q projection,-1,6480,144,144,144,100,100.000,1.3961605584642234
q projection,-1,6624,144,144,144,100,100.000,1.3961605584642234
q projection,-1,6768,144,144,144,100,100.000,1.3961605584642234
q projection,-1,6912,144,144,144,100,100.000,1.3961605584642234
q projection,-1,7056,144,144,144,100,100.000,1.3961605584642234
q projection,-1,7200,144,144,144,100,100.000,1.3961605584642234
q projection,-1,7344,144,144,144,100,100.000,1.3961605584642234
q projection,-1,7488,144,144,144,100,100.000,1.3961605584642234
q projection,-1,7632,144,144,144,100,100.000,1.3961605584642234
q projection,-1,7776,144,144,144,100,100.000,1.3961605584642234
q projection,-1,7920,144,144,144,100,100.000,1.3961605584642234
q projection,-1,8064,144,144,144,100,100.000,1.3961605584642234
q projection,-1,8208,144,144,144,100,100.000,1.3961605584642234
q projection,-1,8352,144,144,144,100,100.000,1.3961605584642234
q projection,-1,8496,144,144,144,100,100.000,1.3961605584642234
q projection,-1,8640,144,144,144,100,100.000,1.3961605584642234
q projection,-1,8784,144,144,144,100,100.000,1.3961605584642234
q projection,-1,8928,144,144,144,100,100.000,1.3961605584642234
q projection,-1,9072,144,144,144,100,100.000,1.3961605584642234
q projection,-1,9216,144,144,144,100,100.000,1.3961605584642234
q projection,-1,9360,144,144,144,100,100.000,1.3961605584642234
q projection,-1,9504,144,144,144,100,100.000,1.3961605584642234
q projection,-1,9648,144,144,144,100,100.000,1.3961605584642234
q projection,-1,9792,144,144,144,100,100.000,1.3961605584642234
q projection,-1,9936,144,144,144,100,100.000,1.3961605584642234
q projection,-1,10080,144,144,144,100,100.000,1.3961605584642234
q projection,-1,10224,144,144,144,100,100.000,1.3961605584642234
q projection,-1,10368,144,144,144,100,100.000,1.3961605584642234
q projection,-1,10512,144,144,144,100,100.000,1.3961605584642234
q projection,-1,10656,144,144,144,100,100.000,1.3961605584642234
q projection,-1,10800,144,144,144,100,100.000,1.3961605584642234
q projection,-1,10944,144,144,144,100,100.000,1.3961605584642234
q projection,-1,11088,144,144,144,100,100.000,1.3961605584642234
q projection,-1,11232,144,144,144,100,100.000,1.3961605584642234
q projection,-1,11376,144,144,144,100,100.000,1.3961605584642234
q projection,-1,11520,144,144,144,100,100.000,1.3961605584642234
q projection,-1,11664,144,144,144,100,100.000,1.3961605584642234
q projection,-1,11808,144,144,144,100,100.000,1.3961605584642234
q projection,-1,11952,144,144,144,100,100.000,1.3961605584642234
q projection,-1,12096,144,144,144,100,100.000,1.3961605584642234
q projection,-1,12240,144,144,144,100,100.000,1.3961605584642234
q projection,-1,12384,144,144,144,100,100.000,1.3961605584642234
q projection,-1,12528,144,144,144,100,100.000,1.3961605584642234
q projection,-1,12672,144,144,144,100,100.000,1.3961605584642234
q projection,-1,12816,144,144,144,100,100.000,1.3961605584642234
q projection,-1,12960,144,144,144,100,100.000,1.3961605584642234
q projection,-1,13104,144,144,144,100,100.000,1.3961605584642234
q projection,-1,13248,144,144,144,100,100.000,1.3961605584642234
q projection,-1,13392,144,144,144,100,100.000,1.3961605584642234
q projection,-1,13536,144,144,144,100,100.000,1.3961605584642234
q projection,-1,13680,144,144,144,100,100.000,1.3961605584642234
q projection,-1,13824,144,144,144,100,100.000,1.3961605584642234
q projection,-1,13968,144,144,144,100,100.000,1.3961605584642234
q projection,-1,14112,144,144,144,100,100.000,1.3961605584642234
q projection,-1,14256,144,144,144,100,100.000,1.3961605584642234
q projection,-1,14400,144,144,144,100,100.000,1.3961605584642234
q projection,-1,14544,144,144,144,100,100.000,1.3961605584642234
q projection,-1,14688,144,144,144,100,100.000,1.3961605584642234
q projection,-1,14832,144,144,144,100,100.000,1.3961605584642234
q projection,-1,14976,144,144,144,100,100.000,1.3961605584642234
q projection,-1,15120,144,144,144,100,100.000,1.3961605584642234
