operation,va util,total cycle,compute cycle,io cycle,current cycle,memory bw,sram occupancy,sa util
layernorm(MHA),0,64,0,64,64,100,0.048828125,0
layernorm(MHA),3.007518796992481,133.0,69.0,69.0,69.0,100,0.0732421875,0
layernorm(MHA),3.007518796992481,266.0,133.0,133.0,133.0,100,0.1220703125,0
layernorm(MHA),0,330.0,0,64,64,100,0.1220703125,0
layernorm(MHA),1.5625,586.0,256,256,256,100,0.2197265625,0
layernorm(MHA),0,650.0,0,64,64,100,0.2197265625,0
q projection,-1,2358,502,2358,2358,100,1.001,3.188775510204082
q projection,-1,4524,502,2166,2166,100,1.001,3.188775510204082
q projection,-1,6690,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,8856,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,11022,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,13188,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,15354,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,17520,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,19686,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,21852,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,24018,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,26184,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,28350,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,30516,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,32682,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,34848,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,37014,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,39180,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,41346,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,43512,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,45678,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,47844,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,50010,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,52176,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,54342,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,56508,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,58674,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,60840,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,63006,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,65172,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,67338,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,69504,502,2166,2166,100,0.977,3.188775510204082
q projection,-1,71738,506,2234,2234,100,1.025,3.188775510204082
q projection,-1,73908,506,2170,2170,100,1.025,3.188775510204082
q projection,-1,76078,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,78248,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,80418,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,82588,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,84758,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,86928,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,89098,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,91268,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,93438,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,95608,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,97778,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,99948,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,102118,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,104288,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,106458,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,108628,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,110798,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,112968,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,115138,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,117308,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,119478,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,121648,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,123818,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,125988,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,128158,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,130328,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,132498,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,134668,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,136838,506,2170,2170,100,1.001,3.188775510204082
q projection,-1,139008,506,2170,2170,100,1.001,3.188775510204082
k projection,-1,2230,502,2230,2230,100,1.001,3.188775510204082
k projection,-1,4396,502,2166,2166,100,1.001,3.188775510204082
k projection,-1,6562,502,2166,2166,100,0.977,3.188775510204082
k projection,-1,8728,502,2166,2166,100,0.977,3.188775510204082
k projection,-1,10894,502,2166,2166,100,0.977,3.188775510204082
k projection,-1,13060,502,2166,2166,100,0.977,3.188775510204082
k projection,-1,15226,502,2166,2166,100,0.977,3.188775510204082
k projection,-1,17392,502,2166,2166,100,0.977,3.188775510204082
